package,breaking_version,published_at,bot_prs_total,bot_prs_merged,bot_prs_rejected,pr_rejection_rate,ci_check_prs_sampled,ci_check_prs_failed,ci_check_failure_rate,ci_failure_issues,is_deprecated,days_to_patch,quick_patch
lodash,4.0.0,2016-01-12 23:13 UTC,259,25,25,0.0965,,,,2,0,12.0,1
express,4.0.0,2014-04-09 20:39 UTC,232,30,48,0.2069,,,,1,0,15.0,0
react,16.0.0,2017-09-26 16:00 UTC,266,58,51,0.1917,,,,7,0,43.0,0
react,17.0.0,2020-10-20 20:11 UTC,0,0,0,,,,,2,0,1.0,1
react,18.0.0,2022-03-29 16:00 UTC,0,0,0,,,,,6,0,28.0,0
webpack,4.0.0,2018-02-25 02:38 UTC,257,58,55,0.214,,,,18,0,1.0,1
webpack,5.0.0,2020-10-10 20:09 UTC,0,0,0,,,,,1,0,2.0,1
babel-core,7.0.0,,219,38,36,0.1644,,,,0,0,,0
typescript,2.0.0,2016-07-11 16:13 UTC,200,35,29,0.145,,,,1,0,49.0,0
typescript,3.0.0,,213,29,24,0.1127,,,,0,0,,0
typescript,4.0.0,,231,58,34,0.1472,,,,0,0,,0
angular,2.0.0,,200,45,38,0.19,,,,0,0,,0
vue,3.0.0,2020-09-18 15:28 UTC,0,0,0,,,,,1,0,27.0,0
moment,2.0.0,2013-02-08 19:13 UTC,218,28,86,0.3945,,,,0,0,149.0,0
axios,1.0.0,2022-10-04 19:24 UTC,0,0,0,,,,,1,0,1.0,1
jest,27.0.0,2021-05-25 08:16 UTC,0,0,0,,,,,2,0,0.0,1
jest,28.0.0,2022-04-25 12:08 UTC,0,0,0,,,,,2,0,0.0,1
eslint,6.0.0,2019-06-22 03:01 UTC,0,0,0,,,,,50,1,2.0,1
eslint,7.0.0,2020-05-08 18:51 UTC,0,0,0,,,,,3,1,14.0,1
eslint,8.0.0,2021-10-09 20:46 UTC,0,0,0,,,,,2,1,4.0,1
mocha,6.0.0,2019-02-18 21:12 UTC,0,0,0,,,,,17,0,2.0,1
mocha,8.0.0,2020-06-10 19:12 UTC,0,0,0,,,,,0,0,0.0,1
chalk,5.0.0,2021-11-26 09:57 UTC,0,0,0,,,,,0,0,102.0,0
node-fetch,3.0.0,2021-08-31 16:22 UTC,0,0,0,,,,,2,0,69.0,0
uuid,8.0.0,2020-04-29 20:42 UTC,0,0,0,,,,,0,1,20.0,0
uuid,9.0.0,2022-09-05 20:03 UTC,0,0,0,,,,,0,1,371.0,0
glob,8.0.0,,296,81,50,0.1689,,,,0,0,,0
glob,9.0.0,2023-02-27 20:51 UTC,0,0,0,,,,,0,1,0.0,1
rimraf,4.0.0,2023-01-13 00:29 UTC,0,0,0,,,,,0,1,0.0,1
mkdirp,1.0.0,2020-01-24 20:18 UTC,0,0,0,,,,,1,0,0.0,1
semver,7.0.0,2019-12-14 19:36 UTC,0,0,0,,,,,5,0,2.0,1
commander,8.0.0,2021-06-25 08:24 UTC,0,0,0,,,,,0,0,31.0,0
commander,9.0.0,2022-01-29 00:30 UTC,0,0,0,,,,,0,0,48.0,0
yargs,17.0.0,2021-05-02 19:02 UTC,0,0,0,,,,,0,0,1.0,1
dotenv,16.0.0,2022-02-02 21:26 UTC,0,0,0,,,,,0,0,96.0,0
mongoose,6.0.0,2021-08-24 22:12 UTC,0,0,0,,,,,0,0,1.0,1
mongoose,7.0.0,2023-02-27 18:53 UTC,0,0,0,,,,,1,0,7.0,1
sequelize,6.0.0,2019-06-12 21:15 UTC,0,0,0,,,,,0,0,377.0,0
typeorm,0.3.0,2022-03-17 16:04 UTC,0,0,0,,,,,1,0,3.0,1
graphql,16.0.0,2021-10-28 19:55 UTC,0,0,0,,,,,1,0,4.0,1
apollo-server,3.0.0,2021-07-07 18:17 UTC,0,0,0,,,,,1,1,9.0,1
next,13.0.0,2022-10-25 17:31 UTC,0,0,0,,,,,5,0,6.0,1
next,14.0.0,2023-10-26 16:13 UTC,0,0,0,,,,,5,1,4.0,1
nuxt,3.0.0,2022-11-16 15:01 UTC,0,0,0,,,,,2,0,69.0,0
gatsby,4.0.0,2021-10-21 11:59 UTC,0,0,0,,,,,0,0,4.0,1
tailwindcss,3.0.0,2021-12-09 16:27 UTC,0,0,0,,,,,1,0,1.0,1
postcss,8.0.0,2020-09-15 15:20 UTC,0,0,0,,,,,1,0,0.0,1
rollup,3.0.0,2022-10-11 13:43 UTC,0,0,0,,,,,0,0,0.0,1
vite,3.0.0,2022-07-13 11:55 UTC,0,0,0,,,,,5,0,4.0,1
vite,4.0.0,2022-12-09 09:04 UTC,0,0,0,,,,,1,0,3.0,1
prettier,3.0.0,2023-07-05 12:44 UTC,0,0,0,,,,,3,0,28.0,0
