package,breaking_version,ecosystem,label_breaking,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,R0,propagation_class,r_squared,first_issue_hours
lodash,4.0.0,npm,1,0.0,0.2139212692376684,0.1847499999999999,0.0379795992336768,0.1091627171178362,0.1267874945943836,SAFE,1.467,moderate,,
express,4.0.0,npm,1,0.5417,0.1463492578732488,0.33035,0.0309635996479055,0.2623407143802886,0.3223531043077075,WAIT,1.196,moderate,,
react,16.0.0,npm,1,1.0,0.1867145401637877,0.42755,0.054315745870657,0.4171450715086112,0.5195109863725819,WAIT,2.098,explosive,,
react,17.0.0,npm,1,0.0,0.1867145401637877,0.5,0.0527623880287888,0.1848692320481441,0.1929909423526247,SAFE,2.038,explosive,,
react,18.0.0,npm,1,0.0,0.1867145401637877,0.0,0.0616683063221664,0.0620957116214885,0.0728781103877677,SAFE,2.382,explosive,,
webpack,4.0.0,npm,1,0.0,0.0663698529887441,0.6809999999999999,0.0621084243773624,0.2023695693415266,0.1914426156770716,SAFE,2.399,explosive,,
webpack,5.0.0,npm,1,0.6019,0.0663698529887441,0.5,0.0436234660591311,0.3029733297619688,0.3541575115201383,WAIT,1.685,rapid,,
babel-core,7.0.0,npm,1,1.0,0.0122606269470938,0.2465999999999999,0.0,0.3147151567367734,0.4079525636724154,WAIT,,no_signal,,
typescript,2.0.0,npm,1,0.0,0.2826640700219452,0.2375,0.0459276135245689,0.1415229208866285,0.1657776860183991,SAFE,1.774,rapid,,
typescript,3.0.0,npm,1,1.0,0.2826640700219452,0.1690499999999999,0.0,0.3629285175054862,0.4914973889530115,WAIT,,no_signal,,
typescript,4.0.0,npm,1,1.0,0.2826640700219452,0.2207999999999999,0.0,0.3758660175054862,0.5039633100050699,WAIT,,no_signal,,
angular,2.0.0,npm,1,0.0,0.0007569274201028,0.285,0.0,0.0714392318550257,0.0689390538912484,SAFE,,no_signal,,
vue,3.0.0,npm,1,0.9648,0.0177495122209487,0.0,0.037772484854761,0.2550804992689274,0.3399222362351042,WAIT,1.459,moderate,,
moment,2.0.0,npm,1,0.0,0.0469685407425643,0.59175,0.0369181380417335,0.1689091696960744,0.1616729752447845,SAFE,1.426,moderate,,
axios,1.0.0,npm,1,0.0323,0.1495214042113067,0.5,0.0366074664733599,0.1796072176711666,0.1894384262529671,SAFE,1.414,moderate,,
jest,27.0.0,npm,1,0.1667,0.0614326050969974,0.5,0.0346139905762957,0.1906866489183233,0.2022846493947929,SAFE,1.337,moderate,,
jest,28.0.0,npm,1,0.1667,0.0614326050969974,0.5,0.037384145394294,0.1913791876228228,0.2023875590390867,SAFE,1.444,moderate,,
eslint,6.0.0,npm,1,0.0,0.184957408201057,1.0,0.0487236576399316,0.3084202664602471,0.3126203062638384,WAIT,1.882,rapid,,
eslint,7.0.0,npm,1,0.0,0.184957408201057,1.0,1.0,0.5462393520502642,0.3479596704688171,WAIT,38.626,explosive,,
eslint,8.0.0,npm,1,0.0,0.184957408201057,1.0,0.0402837466991145,0.3063102887250429,0.312306768469074,WAIT,1.556,rapid,,
mocha,6.0.0,npm,1,0.0741,0.0191209067952579,0.5,0.0382384922073215,0.1578648497506448,0.1545769251823096,SAFE,1.477,moderate,,
mocha,8.0.0,npm,1,0.0457,0.0191209067952579,0.5,0.0284782271009164,0.1483247834740436,0.1444471615852728,SAFE,1.1,moderate,,
chalk,5.0.0,npm,1,0.0,0.6048824781792433,0.0,0.0300833635375135,0.1587414604291892,0.2297925473158777,SAFE,1.162,moderate,,
node-fetch,3.0.0,npm,1,0.2,0.2038310015807793,0.0,0.0267177548801325,0.1076371891152279,0.1468334972089087,SAFE,1.032,moderate,,
uuid,8.0.0,npm,1,0.0,0.363712605415447,1.0,0.0339926474395484,0.3494263132137489,0.3796512079913084,WAIT,1.313,moderate,,
uuid,9.0.0,npm,1,0.0,0.363712605415447,1.0,0.034795215657847,0.3496269552683235,0.3796810229349824,WAIT,1.344,moderate,,
glob,8.0.0,npm,1,1.0,0.4925150898901939,0.2533499999999999,0.0,0.4364662724725485,0.5911380757911134,WAIT,,no_signal,,
glob,9.0.0,npm,1,1.0,0.4925150898901939,1.0,0.0324910681924092,0.6312515395206508,0.7722036499501802,AVOID,1.255,moderate,,
rimraf,4.0.0,npm,1,0.0,0.1939098963557897,1.0,0.0374100346916584,0.307829982761862,0.3155844872565415,WAIT,1.445,moderate,,
mkdirp,1.0.0,npm,1,0.0,0.1770689815280303,0.5,0.0388080567493398,0.1789692595693425,0.1888260572024624,SAFE,1.499,moderate,,
semver,7.0.0,npm,1,0.9524,1.0,0.5,0.0353647801998653,0.6219411950499664,0.8273503433339557,AVOID,1.366,moderate,,
commander,8.0.0,npm,1,0.0,0.5745777606045109,0.0,0.035235333713043,0.1524532735793884,0.2185272842782124,SAFE,1.361,moderate,,
commander,9.0.0,npm,1,0.0,0.5745777606045109,0.0,0.0303422565111582,0.1512300042789173,0.2183455092990392,SAFE,1.172,moderate,,
yargs,17.0.0,npm,1,0.1034,0.2698040340772249,0.5,0.2425309377103505,0.2789337429468939,0.2670133723137407,WAIT,9.368,explosive,,
dotenv,16.0.0,npm,1,0.0,0.1886129298554628,0.0,0.0298762491585978,0.0546222947535151,0.0724147374549826,SAFE,1.154,moderate,,
mongoose,6.0.0,npm,1,0.0833,0.0076572890496873,0.5,0.071739242996945,0.1656741330116581,0.1546516686857276,SAFE,2.771,explosive,,
mongoose,7.0.0,npm,1,0.0353,0.0076572890496873,0.5,0.034355097602651,0.1443280966630846,0.1367549672707373,SAFE,1.327,moderate,,
sequelize,6.0.0,npm,1,1.0,0.0041158399948869,0.0,0.0325428467871381,0.2591646716955063,0.3466795625331303,WAIT,1.257,moderate,,
typeorm,0.3.0,npm,1,0.0219,0.0065009551261088,0.5,0.0309118210531766,0.1398281940448213,0.1315814451317997,SAFE,1.194,moderate,,
graphql,16.0.0,npm,1,0.2319,0.0551483487998514,0.5,0.0327499611660539,0.2049495774914763,0.2222628812433802,SAFE,1.265,moderate,,
apollo-server,3.0.0,npm,1,0.2632,0.0041502681824422,1.0,0.0265106405012168,0.3234652271709147,0.3339595511376387,WAIT,1.024,moderate,,
next,13.0.0,npm,1,0.0233,0.0501233477225787,0.5,0.0913633303992129,0.1661966695304479,0.1508000481098712,SAFE,3.529,explosive,,
next,14.0.0,npm,1,0.0276,0.0501233477225787,1.0,0.0777714492828664,0.2888736992513613,0.2722176321713137,WAIT,3.004,explosive,,
nuxt,3.0.0,npm,1,0.0,0.0021100069669201,0.0,0.0398954072386475,0.0105013535513919,0.0022797763904231,SAFE,1.541,rapid,,
gatsby,4.0.0,npm,1,0.0123,0.0004153429017417,0.5,0.0319732822451198,0.1361721562867154,0.1260186402596698,SAFE,1.235,moderate,,
tailwindcss,3.0.0,npm,1,0.8899,0.1541017477649793,0.5,0.0353906694972298,0.3948481043155523,0.4860659996161581,WAIT,1.367,moderate,,
postcss,8.0.0,npm,1,0.6667,0.3163677861283577,0.5,0.0317920571635685,0.3787149608229815,0.4705150154365383,WAIT,1.228,moderate,,
rollup,3.0.0,npm,1,0.0433,0.1683878700543023,0.5,0.0316367213793817,0.185831147858421,0.2001692676600215,SAFE,1.222,moderate,,
vite,3.0.0,npm,1,0.1241,0.1799594043567245,0.5,0.0437011339512245,0.2119401345769873,0.2327803576850264,SAFE,1.688,rapid,,
vite,4.0.0,npm,1,0.0036,0.1799594043567245,0.5,0.0409568684305908,0.1811290681968288,0.1912366972415048,SAFE,1.582,rapid,,
prettier,3.0.0,npm,1,0.9,0.148227427128766,0.0,0.0457204991456531,0.2734869815686048,0.3672588242342217,WAIT,1.766,rapid,,
glob,4.0.0,npm,1,0.0,0.4925150898901939,0.0,0.0,0.1231287724725484,0.1861946351425312,SAFE,,,,
glob,5.0.0,npm,1,0.0,0.4925150898901939,0.0,0.0,0.1231287724725484,0.1861946351425312,SAFE,,,,
glob,10.0.0,npm,1,0.0213,0.4925150898901939,0.0,0.0,0.1284537724725484,0.1935200167008314,SAFE,,,,
uuid,3.0.0,npm,1,0.0,0.363712605415447,0.0,0.0,0.0909281513538617,0.1375010375360622,SAFE,,,,
uuid,7.0.0,npm,1,0.0,0.363712605415447,0.0,0.0,0.0909281513538617,0.1375010375360622,SAFE,,,,
graceful-fs,3.0.0,npm,1,0.0,0.2241937421201817,0.0,0.0,0.0560484355300454,0.0847561280297274,SAFE,,,,
eslint,1.0.0,npm,1,0.0,0.184957408201057,0.0,0.0,0.0462393520502642,0.0699228873263192,SAFE,,,,
eslint,2.0.0,npm,1,0.0,0.184957408201057,0.0,0.0,0.0462393520502642,0.0699228873263192,SAFE,,,,
eslint,3.0.0,npm,1,0.0,0.184957408201057,0.0,0.0,0.0462393520502642,0.0699228873263192,SAFE,,,,
eslint,4.0.0,npm,1,0.1429,0.184957408201057,0.0,0.0,0.0819643520502642,0.1190682875460891,SAFE,,,,
eslint,5.0.0,npm,1,0.0,0.184957408201057,0.0,0.0,0.0462393520502642,0.0699228873263192,SAFE,,,,
express,1.0.0,npm,1,0.7907,0.1463492578732488,0.0,0.0,0.2342623144683122,0.3272604262313836,SAFE,,,,
express,2.0.0,npm,1,0.2222,0.1463492578732488,0.0,0.0,0.0921373144683122,0.1317449606964698,SAFE,,,,
express,3.0.0,npm,1,0.7,0.1463492578732488,0.0,0.0,0.2115873144683122,0.2960673695488565,SAFE,,,,
tar,2.0.0,npm,1,0.0,0.1128155907913728,0.0,0.0,0.0282038976978432,0.0426497749956696,SAFE,,,,
tar,4.0.0,npm,1,0.0,0.1128155907913728,0.0,0.0,0.0282038976978432,0.0426497749956696,SAFE,,,,
tar,6.0.0,npm,1,0.0,0.1128155907913728,0.0,0.0,0.0282038976978432,0.0426497749956696,SAFE,,,,
tar,7.0.0,npm,1,0.0952,0.1128155907913728,0.0,0.0,0.0520038976978432,0.0753904475003729,SAFE,,,,
jsonwebtoken,4.0.0,npm,1,0.0,0.0620872291911836,0.0,0.0,0.0155218072977959,0.0234719894345582,SAFE,,,,
graphql,14.0.0,npm,1,0.0181,0.0551483487998514,0.0,0.0,0.0183120871999628,0.0270736102398872,SAFE,,,,
formidable,1.0.0,npm,1,0.0,0.0300710482213977,0.0,0.0,0.0075177620553494,0.0113683173711183,SAFE,,,,
gauge,2.0.0,npm,1,0.0,0.0295426891153592,0.0,0.0,0.0073856722788398,0.0111685719562215,SAFE,,,,
npmlog,3.0.0,npm,1,0.0,0.0293153929295058,0.0,0.0,0.0073288482323764,0.0110826429537138,SAFE,,,,
npmlog,7.0.0,npm,1,0.0,0.0293153929295058,0.0,0.0,0.0073288482323764,0.0110826429537138,SAFE,,,,
joi,1.0.0,npm,1,0.0,0.0290376904030759,0.0,0.0,0.0072594226007689,0.0109776579052388,SAFE,,,,
joi,3.0.0,npm,1,0.15,0.0290376904030759,0.0,0.0,0.0447594226007689,0.0625648519777754,SAFE,,,,
joi,6.0.0,npm,1,0.0,0.0290376904030759,0.0,0.0,0.0072594226007689,0.0109776579052388,SAFE,,,,
joi,9.0.0,npm,1,0.0,0.0290376904030759,0.0,0.0,0.0072594226007689,0.0109776579052388,SAFE,,,,
superagent,1.0.0,npm,1,0.0667,0.0280192626934177,0.0,0.0,0.0236798156733544,0.033531748376805,SAFE,,,,
superagent,3.0.0,npm,1,0.5667,0.0280192626934177,0.0,0.0,0.1486798156733544,0.2054890619519271,SAFE,,,,
superagent,10.0.0,npm,1,0.0526,0.0280192626934177,0.0,0.0,0.0201548156733544,0.0286825521339866,SAFE,,,,
multer,1.0.0,npm,1,0.0,0.0228166897765318,0.0,0.0,0.0057041724441329,0.0086258173918058,SAFE,,,,
nodemailer,3.0.0,npm,1,0.5,0.0217134219714413,0.0,0.0,0.1304283554928603,0.180166042129144,SAFE,,,,
nodemailer,4.0.0,npm,1,0.0,0.0217134219714413,0.0,0.0,0.0054283554928603,0.0082087285540219,SAFE,,,,
