package,breaking_version,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,label_breaking,propagation_class,R0,ci_check_failure_rate,ci_check_prs_sampled,ci_check_prs_failed,pr_rejection_rate,bot_prs_total,bot_prs_rejected,ci_failure_issues,is_deprecated,days_to_patch,quick_patch
lodash,4.0.0,0.0,0.2139212692376684,0.18474999999999997,0.0379795992336768,0.10916271711783629,0.12678749459438368,SAFE,1,moderate,1.467,,,,0.0965,259.0,25.0,2.0,0.0,12.0,1.0
express,4.0.0,0.5417,0.14634925787324884,0.33035,0.030963599647905557,0.2623407143802886,0.3223531043077075,WAIT,1,moderate,1.196,,,,0.2069,232.0,48.0,1.0,0.0,15.0,0.0
react,16.0.0,1.0,0.18671454016378777,0.42755,0.05431574587065707,0.41714507150861124,0.5195109863725819,WAIT,1,explosive,2.098,,,,0.1917,266.0,51.0,7.0,0.0,43.0,0.0
react,17.0.0,0.0,0.18671454016378777,0.5,0.052762388028788895,0.18486923204814415,0.1929909423526247,SAFE,1,explosive,2.038,,,,,0.0,0.0,2.0,0.0,1.0,1.0
react,18.0.0,0.0,0.18671454016378777,0.0,0.061668306322166425,0.06209571162148855,0.07287811038776774,SAFE,1,explosive,2.382,,,,,0.0,0.0,6.0,0.0,28.0,0.0
webpack,4.0.0,0.0,0.06636985298874415,0.6809999999999999,0.0621084243773624,0.2023695693415266,0.19144261567707163,SAFE,1,explosive,2.399,,,,0.214,257.0,55.0,18.0,0.0,1.0,1.0
webpack,5.0.0,0.6019,0.06636985298874415,0.5,0.04362346605913116,0.30297332976196883,0.3541575115201383,WAIT,1,rapid,1.685,,,,,0.0,0.0,1.0,0.0,2.0,1.0
babel-core,7.0.0,1.0,0.01226062694709383,0.24659999999999996,0.0,0.3147151567367734,0.4079525636724154,WAIT,1,no_signal,,,,,0.1644,219.0,36.0,0.0,0.0,,0.0
typescript,2.0.0,0.0,0.2826640700219452,0.2375,0.04592761352456895,0.14152292088662854,0.16577768601839912,SAFE,1,rapid,1.774,,,,0.145,200.0,29.0,1.0,0.0,49.0,0.0
typescript,3.0.0,1.0,0.2826640700219452,0.16904999999999998,0.0,0.36292851750548627,0.49149738895301154,WAIT,1,no_signal,,,,,0.1127,213.0,24.0,0.0,0.0,,0.0
