package,breaking_version,R0_pop,k_intra,k_total,cf,R0_hmf,attack_rate_sim,R0_sim,amp_factor
lodash,4.0.0,1.467,2,1537.16,1.3788,2.0227,0.0682,1.0357,1.3788002726653033
express,4.0.0,1.196,2,1051.66,1.1328,1.3548,0.0631,1.0329,1.1327759197324416
react,16.0.0,2.098,0,1341.68,0.6798,1.4261,0.0286,1.0146,0.6797426120114395
react,17.0.0,2.038,0,1341.68,0.6798,1.3853,0.0292,1.0149,0.6797350343473995
react,18.0.0,2.382,0,1341.68,0.6798,1.6192,0.0274,1.0139,0.6797649034424853
webpack,4.0.0,2.399,1,477.03,0.5417,1.2995,0.0505,1.0261,0.5416840350145894
webpack,5.0.0,1.685,1,477.03,0.5417,0.9127,0.0478,1.0247,0.5416617210682492
typescript,2.0.0,1.774,0,2031.06,1.029,1.8255,0.0291,1.0148,1.029030439684329
vue,3.0.0,1.459,1,127.7,0.3647,0.5321,0.0482,1.0249,0.3647018505825908
moment,2.0.0,1.426,1,337.63,0.4711,0.6717,0.0475,1.0245,0.47103786816269283
axios,1.0.0,1.414,1,1074.46,0.8444,1.1939,0.0468,1.0241,0.8443422913719943
jest,27.0.0,1.337,0,441.55,0.2237,0.2991,0.0294,1.015,0.22370979805534777
jest,28.0.0,1.444,0,441.55,0.2237,0.323,0.0291,1.0148,0.2236842105263158
eslint,6.0.0,1.882,1,1329.06,0.9734,1.8319,0.0464,1.0239,0.9733793836344315
eslint,7.0.0,38.626,1,1329.06,0.9734,37.5968,0.003,0.0,0.973354735152488
eslint,8.0.0,1.556,1,1329.06,0.9734,1.5145,0.0479,1.0248,0.9733290488431876
mocha,6.0.0,1.477,0,137.55,0.0697,0.1029,0.0294,1.015,0.06966824644549763
mocha,8.0.0,1.1,0,137.55,0.0697,0.0767,0.0294,1.015,0.06972727272727272
chalk,5.0.0,1.162,4,4346.14,3.4019,3.953,0.0978,1.0524,3.401893287435456
node-fetch,3.0.0,1.032,1,1460.05,1.0397,1.073,0.0501,1.0259,1.0397286821705425
uuid,8.0.0,1.313,2,2613.38,1.924,2.5263,0.0646,1.0338,1.9240670220868241
uuid,9.0.0,1.344,2,2613.38,1.924,2.5859,0.0659,1.0345,1.924032738095238
glob,9.0.0,1.255,3,3538.8,2.6929,3.3796,0.0841,1.0446,2.6929083665338647
rimraf,4.0.0,1.445,0,1393.38,0.7059,1.0201,0.0294,1.015,0.7059515570934256
mkdirp,1.0.0,1.499,4,1272.38,1.8446,2.7651,0.1092,1.0589,1.844629753168779
semver,7.0.0,1.366,2,7184.98,4.2402,5.7921,0.0675,1.0353,4.240190336749634
commander,8.0.0,1.361,0,4128.4,2.0916,2.8467,0.0294,1.015,2.0916238060249817
commander,9.0.0,1.172,0,4128.4,2.0916,2.4514,0.0294,1.015,2.0916382252559726
yargs,17.0.0,9.368,2,1938.66,1.5822,14.8221,0.0075,0.0,1.5822053800170794
dotenv,16.0.0,1.154,2,1355.32,1.2867,1.4848,0.064,1.0334,1.2866551126516466
mongoose,6.0.0,2.771,0,55.19,0.028,0.0775,0.0294,1.015,0.02796824251172862
mongoose,7.0.0,1.327,0,55.19,0.028,0.0371,0.0294,1.015,0.0279577995478523
sequelize,6.0.0,1.257,0,29.74,0.0151,0.0189,0.0294,1.015,0.015035799522673032
typeorm,0.3.0,1.194,0,46.88,0.0238,0.0284,0.0294,1.015,0.023785594639866
graphql,16.0.0,1.265,1,396.4,0.5008,0.6336,0.0471,1.0243,0.5008695652173913
apollo-server,3.0.0,1.024,0,2.16,0.0011,0.0011,0.0294,1.015,0.00107421875
next,13.0.0,3.529,0,360.3,0.1825,0.6442,0.0252,1.0128,0.18254463020685746
next,14.0.0,3.004,0,360.3,0.1825,0.5484,0.0254,1.0129,0.18255659121171772
nuxt,3.0.0,1.541,0,15.33,0.0078,0.012,0.0294,1.015,0.007787151200519144
gatsby,4.0.0,1.235,0,3.16,0.0016,0.002,0.0294,1.015,0.0016194331983805667
tailwindcss,3.0.0,1.367,0,1107.36,0.561,0.7669,0.0294,1.015,0.5610095098756401
postcss,8.0.0,1.228,3,2273.21,2.0517,2.5195,0.0806,1.0426,2.0517100977198695
rollup,3.0.0,1.222,1,1210.01,0.913,1.1157,0.0465,1.024,0.9130114566284778
vite,3.0.0,1.688,0,1293.15,0.6552,1.1059,0.0293,1.0149,0.655154028436019
vite,4.0.0,1.582,0,1293.15,0.6552,1.0365,0.0294,1.015,0.6551833122629582
prettier,3.0.0,1.766,0,1065.16,0.5397,0.953,0.0294,1.015,0.5396375990939977
