package,breaking_version,prior_version,V_score,n_prior_symbols,n_removed_symbols,n_added_symbols,prior_fetched,breaking_fetched,method,pattern_C_candidate
http,1.0.0,0.13.6,0.0286,35,1,0,1,1,dart_toplevel_public_symbols,0
dio,5.0.0,4.0.6,0.0351,57,2,8,1,1,dart_toplevel_public_symbols,0
bloc,8.0.0,7.0.0,0.25,8,2,5,1,1,dart_toplevel_public_symbols,0
flutter_bloc,8.0.0,7.3.3,0.0,19,0,0,1,1,dart_toplevel_public_symbols,1
riverpod,1.0.0,0.14.0,0.1429,84,12,37,1,1,dart_toplevel_public_symbols,0
riverpod,2.0.0,1.0.6,0.0,0,0,168,0,1,dart_toplevel_public_symbols,0
go_router,6.0.0,5.3.0,0.0,0,0,47,0,1,dart_toplevel_public_symbols,0
go_router,10.0.0,9.1.3,0.0,0,0,67,0,1,dart_toplevel_public_symbols,0
mockito,5.0.0,4.1.4,0.0606,33,2,2,1,1,dart_toplevel_public_symbols,0
provider,6.0.0,5.0.0,0.0,71,0,1,1,1,dart_toplevel_public_symbols,1
freezed,2.0.0,1.1.3,0.0,0,0,51,0,1,dart_toplevel_public_symbols,0
get_it,7.0.0,6.1.0,0.0,11,0,3,1,1,dart_toplevel_public_symbols,1
hive,2.0.0,1.4.4,0.0,60,0,3,1,1,dart_toplevel_public_symbols,1
drift,2.0.0,1.7.2,0.0,0,0,207,0,1,dart_toplevel_public_symbols,0
sqflite,2.0.0,1.3.2,0.0,8,0,0,1,1,dart_toplevel_public_symbols,1
firebase_core,2.0.0,1.24.0,0.0,2,0,0,1,1,dart_toplevel_public_symbols,1
path_provider,2.0.0,1.6.28,0.0,6,0,1,1,1,dart_toplevel_public_symbols,1
url_launcher,6.0.0,5.7.10,0.0,5,0,0,1,1,dart_toplevel_public_symbols,1
image_picker,1.0.0,0.8.7,0.0,1,0,0,1,1,dart_toplevel_public_symbols,1
shared_preferences,2.0.0,0.5.13,0.0,0,0,1,0,1,dart_toplevel_public_symbols,0
intl,0.18.0,0.17.0,0.0385,52,2,1,1,1,dart_toplevel_public_symbols,0
collection,1.17.0,1.16.0,0.0,52,0,0,1,1,dart_toplevel_public_symbols,1
test,1.22.0,1.21.7,0.0,57,0,1,1,1,dart_toplevel_public_symbols,1
build_runner,2.0.0,1.12.2,0.0217,46,1,1,1,1,dart_toplevel_public_symbols,0
json_annotation,4.0.0,3.1.1,0.0,11,0,0,1,1,dart_toplevel_public_symbols,1
