package,breaking_version,prior_stable_version,published_at,description,download_count_30d,github_url,label_breaking,ecosystem
http,1.0.0,0.13.6,2023-05-22T18:23:29.020741Z,Dart HTTP client — async API overhaul,8842883,https://github.com/dart-lang/http/tree/master/pkgs/http,1,pubdev
dio,5.0.0,4.0.6,2023-02-13T06:42:51.506783Z,HTTP client — interceptor/response API changes,2929699,https://github.com/cfug/dio/blob/main/dio,1,pubdev
bloc,8.0.0,7.0.0,2021-11-18T15:41:20.662393Z,BLoC state management — closeable streams,1726272,https://github.com/felangel/bloc/tree/master/packages/bloc,1,pubdev
flutter_bloc,8.0.0,7.3.3,2021-11-18T17:04:55.638087Z,Flutter BLoC — provider/context API changes,1588551,https://github.com/felangel/bloc/tree/master/packages/flutter_bloc,1,pubdev
riverpod,1.0.0,0.14.0,2021-11-05T13:24:24.412189Z,State management — provider syntax overhaul,1974700,https://github.com/rrousselGit/riverpod,1,pubdev
riverpod,2.0.0,1.0.6,2022-09-30T21:44:26.815830Z,State management — annotations + code gen,1974700,https://github.com/rrousselGit/riverpod,1,pubdev
go_router,6.0.0,5.3.0,2022-12-19T23:17:46.170263Z,Router — ShellRoute/named route changes,2888252,https://github.com/flutter/packages/tree/main/packages/go_router,1,pubdev
go_router,10.0.0,9.1.3,2023-07-21T22:50:30.572965Z,Router — StatefulShellRoute API changes,2888252,https://github.com/flutter/packages/tree/main/packages/go_router,1,pubdev
mockito,5.0.0,4.1.4,2021-02-23T22:41:29.906159Z,Mocking — null safety + code generation,2015573,https://github.com/dart-lang/build/tree/master/builder_pkgs/mockito,1,pubdev
provider,6.0.0,5.0.0,2021-08-19T20:59:39.198442Z,State management — null safety migration,1053985,https://github.com/rrousselGit/provider,1,pubdev
freezed,2.0.0,1.1.3,2022-04-19T12:44:55.705266Z,"Code gen — new union syntax, no more @nullable",2043273,https://github.com/rrousselGit/freezed,1,pubdev
get_it,7.0.0,6.1.0,2021-05-02T14:10:08.301535Z,Service locator — async init changes,1700729,https://github.com/flutter-it/get_it,1,pubdev
hive,2.0.0,1.4.4,2021-03-05T14:01:07.725499Z,"NoSQL DB — null safety, new adapter API",964318,https://github.com/hivedb/hive/tree/master/hive,1,pubdev
drift,2.0.0,1.7.2,2022-08-14T15:48:25.825711Z,SQLite ORM (formerly moor) — breaking API rename,764832,https://github.com/simolus3/drift,1,pubdev
sqflite,2.0.0,1.3.2,2021-02-17T18:39:58.329720Z,SQLite plugin — null safety migration,2079085,https://github.com/tekartik/sqflite/tree/master/sqflite,1,pubdev
firebase_core,2.0.0,1.24.0,2022-10-18T14:37:31.040885Z,Firebase — new plugin architecture,3297508,https://github.com/firebase/flutterfire/tree/main/packages/firebase_core/firebase_core,1,pubdev
path_provider,2.0.0,1.6.28,2021-02-22T21:19:29.451974Z,"Path provider — null safety, platform interface",4932467,https://github.com/flutter/packages/tree/main/packages/path_provider/path_provider,1,pubdev
url_launcher,6.0.0,5.7.10,2021-02-23T00:30:24.136639Z,"URL launcher — null safety, plugin interface",4444292,https://github.com/flutter/packages/tree/main/packages/url_launcher/url_launcher,1,pubdev
image_picker,1.0.0,0.8.7,2023-06-26T18:56:28.754851Z,"Image picker — XFile API, null safety",2953055,https://github.com/flutter/packages/tree/main/packages/image_picker/image_picker,1,pubdev
shared_preferences,2.0.0,0.5.13,2021-02-23T00:29:56.319156Z,"Prefs — null safety, async API changes",4840012,https://github.com/flutter/packages/tree/main/packages/shared_preferences/shared_preferences,1,pubdev
intl,0.18.0,0.17.0,2022-12-14T16:03:01.104278Z,Internationalisation — NumberFormat breaking changes,6605762,https://github.com/dart-lang/i18n/tree/main/pkgs/intl,1,pubdev
collection,1.17.0,1.16.0,2022-10-14T18:09:11.740964Z,Collections — QueueList/UnmodifiableSet changes,6254704,https://github.com/dart-lang/core/tree/main/pkgs/collection,1,pubdev
test,1.22.0,1.21.7,2022-11-01T17:56:11.417184Z,Test framework — expectAsync API changes,7082545,https://github.com/dart-lang/test/tree/master/pkgs/test,1,pubdev
build_runner,2.0.0,1.12.2,2021-04-20T20:04:00.661339Z,"Build system — null safety, config changes",4892633,https://github.com/dart-lang/build/tree/master/build_runner,1,pubdev
json_annotation,4.0.0,3.1.1,2021-02-11T23:35:05.016575Z,JSON codegen annotations — null safety,8391350,https://github.com/google/json_serializable.dart/tree/master/json_annotation,1,pubdev
