package,breaking_version,published_at,download_count_30d,total_in_window,first_issue_hours,issues_6h,issues_12h,issues_24h,issues_48h,issues_72h,label_breaking,ecosystem
http,1.0.0,2023-05-22 18:23 UTC,8842883,402,0.0,215,269,323,361,402,1,pubdev
dio,5.0.0,2023-02-13 06:42 UTC,2929699,28,0.34,10,12,13,19,28,1,pubdev
bloc,8.0.0,2021-11-18 15:41 UTC,1726272,16,1.48,2,2,10,14,16,1,pubdev
flutter_bloc,8.0.0,2021-11-18 17:04 UTC,1588551,8,0.09,1,1,7,8,8,1,pubdev
riverpod,1.0.0,2021-11-05 13:24 UTC,1974700,11,6.78,0,3,4,6,11,1,pubdev
riverpod,2.0.0,2022-09-30 21:44 UTC,1974700,4,8.49,0,1,1,2,4,1,pubdev
go_router,6.0.0,2022-12-19 23:17 UTC,2888252,5,5.14,1,2,2,5,5,1,pubdev
go_router,10.0.0,2023-07-21 22:50 UTC,2888252,8,6.38,0,1,2,4,8,1,pubdev
mockito,5.0.0,2021-02-23 22:41 UTC,2015573,7,0.39,1,2,5,7,7,1,pubdev
provider,6.0.0,2021-08-19 20:59 UTC,1053985,77,0.55,20,27,45,66,77,1,pubdev
freezed,2.0.0,2022-04-19 12:44 UTC,2043273,6,2.54,3,3,4,5,6,1,pubdev
get_it,7.0.0,2021-05-02 14:10 UTC,1700729,1,16.68,0,0,1,1,1,1,pubdev
hive,2.0.0,2021-03-05 14:01 UTC,964318,6,2.35,1,2,3,6,6,1,pubdev
drift,2.0.0,2022-08-14 15:48 UTC,764832,11,4.49,1,2,5,8,11,1,pubdev
sqflite,2.0.0,2021-02-17 18:39 UTC,2079085,11,4.89,1,1,3,5,11,1,pubdev
firebase_core,2.0.0,2022-10-18 14:37 UTC,3297508,15,0.05,4,4,8,12,15,1,pubdev
path_provider,2.0.0,2021-02-22 21:19 UTC,4932467,25,0.18,3,6,11,20,25,1,pubdev
url_launcher,6.0.0,2021-02-23 00:30 UTC,4444292,17,0.78,1,4,7,14,17,1,pubdev
image_picker,1.0.0,2023-06-26 18:56 UTC,2953055,2,62.44,0,0,0,0,2,1,pubdev
shared_preferences,2.0.0,2021-02-23 00:29 UTC,4840012,22,0.79,2,4,8,16,22,1,pubdev
intl,0.18.0,2022-12-14 16:03 UTC,6605762,23,1.1,3,4,9,18,23,1,pubdev
collection,1.17.0,2022-10-14 18:09 UTC,6254704,54,0.66,4,11,15,29,54,1,pubdev
test,1.22.0,2022-11-01 17:56 UTC,7082545,261,0.02,113,151,221,237,261,1,pubdev
build_runner,2.0.0,2021-04-20 20:04 UTC,4892633,20,0.51,2,3,8,16,20,1,pubdev
json_annotation,4.0.0,2021-02-11 23:35 UTC,8391350,3,15.15,0,0,2,3,3,1,pubdev
