package,breaking_version,beta,gamma,R0,r_squared,propagation_class,first_issue_hours,peak_issues_72h,N_6h,N_12h,N_24h,N_48h,N_72h
http,1.0.0,0.1138,0.01,11.3837,-0.8511,no_signal,0.0,402,215,269,323,361,402
dio,5.0.0,0.0706,0.01,7.0565,0.2995,no_signal,0.34,28,10,12,13,19,28
bloc,8.0.0,0.1388,0.01,13.8766,0.718,super_critical,1.48,16,2,2,10,14,16
flutter_bloc,8.0.0,0.1887,0.01,18.8696,0.6451,super_critical,0.09,8,1,1,7,8,8
riverpod,1.0.0,0.5,0.3,1.6667,-1.7246,no_signal,6.78,11,0,3,4,6,11
riverpod,2.0.0,0.5,0.3,1.6667,-1.3913,no_signal,8.49,4,0,1,1,2,4
go_router,6.0.0,0.103,0.01,10.3041,0.5131,super_critical,5.14,5,1,2,2,5,5
go_router,10.0.0,0.5,0.3,1.6667,-1.125,no_signal,6.38,8,0,1,2,4,8
mockito,5.0.0,0.1586,0.01,15.8635,0.6203,super_critical,0.39,7,1,2,5,7,7
provider,6.0.0,0.1024,0.01,10.2398,0.5231,super_critical,0.55,77,20,27,45,66,77
freezed,2.0.0,0.0807,0.01,8.0744,-0.2056,no_signal,2.54,6,3,3,4,5,6
get_it,7.0.0,0.5,0.3,1.6667,-1.5,no_signal,16.68,1,0,0,1,1,1
hive,2.0.0,0.1183,0.01,11.827,0.5941,super_critical,2.35,6,1,2,3,6,6
drift,2.0.0,0.1214,0.01,12.1375,0.7617,super_critical,4.49,11,1,2,5,8,11
sqflite,2.0.0,0.0829,0.01,8.294,0.7376,super_critical,4.89,11,1,1,3,5,11
firebase_core,2.0.0,0.09,0.01,8.9979,0.5532,super_critical,0.05,15,4,4,8,12,15
path_provider,2.0.0,0.1141,0.01,11.4086,0.7303,super_critical,0.18,25,3,6,11,20,25
url_launcher,6.0.0,0.1419,0.01,14.1918,0.7616,super_critical,0.78,17,1,4,7,14,17
image_picker,1.0.0,0.5,0.3,1.6667,-0.25,no_signal,62.44,2,0,0,0,0,2
shared_preferences,2.0.0,0.11,0.01,10.9969,0.7771,super_critical,0.79,22,2,4,8,16,22
intl,0.18.0,0.1033,0.01,10.3255,0.7441,super_critical,1.1,23,3,4,9,18,23
collection,1.17.0,0.0943,0.01,9.4267,0.7486,super_critical,0.66,54,4,11,15,29,54
test,1.22.0,0.1313,0.01,13.1313,-0.1082,no_signal,0.02,261,113,151,221,237,261
build_runner,2.0.0,0.1146,0.01,11.4621,0.7748,super_critical,0.51,20,2,3,8,16,20
json_annotation,4.0.0,0.5,0.3,1.6667,-1.3913,no_signal,15.15,3,0,0,2,3,3
