package,breaking_version,prior_version,n_prior_symbols,n_removed_symbols,V_score,error
Django,2.0,1.11.17,2220,73,0.0329,
Django,3.0,2.2.9,2317,31,0.0134,
Django,4.0,3.2.10,2413,22,0.0091,
pandas,2.0.0,1.5.3,114,0,0.0,
numpy,2.0.0,1.26.4,6,1,0.1667,
SQLAlchemy,2.0.0,1.4.46,156,21,0.1346,
pydantic,2.0.0,1.10.13,94,27,0.2872,
Celery,5.0.0,4.4.7,16,0,0.0,
Pillow,10.0.0,9.5.0,1144,11,0.0096,
aiohttp,3.0.0,2.3.10,270,20,0.0741,
Scrapy,2.0.0,1.8.0,9,0,0.0,
cryptography,42.0.0,41.0.7,488,8,0.0164,
sphinx,5.0.0,4.5.0,948,14,0.0148,
marshmallow,3.0.0,2.21.0,303,55,0.1815,
mypy,1.0.0,0.991,1310,5,0.0038,
Pillow,9.0.0,8.4.0,987,1,0.001,
urllib3,2.0.0,1.26.15,20,0,0.0,
attrs,22.2.0,21.4.0,172,6,0.0349,
setuptools,58.0.0,57.4.0,8,0,0.0,
httpx,0.23.0,0.22.0,68,0,0.0,
fastapi,0.100.0,0.99.1,135,5,0.037,
click,8.0.0,7.1.2,98,2,0.0204,
pytest,7.0.0,6.2.5,57,1,0.0175,
Flask,2.0.0,1.1.4,87,2,0.023,
werkzeug,2.0.0,1.0.1,286,6,0.021,
