package,breaking_version,published_at,weekly_downloads,total_in_window,first_issue_hours,issues_6h,issues_12h,issues_24h,issues_48h,issues_72h,label_breaking,ecosystem
Django,2.0,2017-12-02 15:11 UTC,11174509,110,1.56,10,18,31,76,110,1,pypi
Django,3.0,2019-12-02 11:13 UTC,11174509,113,1.3,22,43,63,94,113,1,pypi
Django,4.0,2021-12-07 09:19 UTC,0,62,1.5,7,19,30,53,62,1,pypi
pandas,2.0.0,2023-04-03 14:10 UTC,0,151,0.9,16,33,65,132,151,1,pypi
numpy,2.0.0,2024-06-16 13:06 UTC,235334365,264,0.11,30,53,137,222,264,1,pypi
SQLAlchemy,2.0.0,2023-01-26 23:43 UTC,90531122,62,1.82,6,21,44,54,62,1,pypi
pydantic,2.0.0,,252964341,0,,0,0,0,0,0,1,pypi
Celery,5.0.0,2020-09-24 15:01 UTC,12707204,11,1.05,2,3,8,11,11,1,pypi
click,8.0.0,2021-05-11 20:45 UTC,243120442,282,0.45,17,32,106,192,282,1,pypi
Pillow,10.0.0,2023-07-01 14:56 UTC,107106185,72,0.03,6,8,12,47,72,1,pypi
pytest,7.0.0,2022-02-04 10:21 UTC,197037851,45,0.83,10,17,22,30,45,1,pypi
Flask,2.0.0,2021-05-11 21:46 UTC,47688328,63,0.07,7,15,33,52,63,1,pypi
aiohttp,3.0.0,2018-02-12 10:02 UTC,136164399,6,1.26,2,2,3,5,6,1,pypi
Scrapy,2.0.0,2020-03-03 08:42 UTC,1102508,0,,0,0,0,0,0,1,pypi
cryptography,42.0.0,2024-01-23 01:19 UTC,0,43,0.31,6,11,20,33,43,1,pypi
sphinx,5.0.0,2022-05-29 16:19 UTC,0,31,5.02,1,1,4,15,31,1,pypi
marshmallow,3.0.0,2019-08-18 22:34 UTC,32896950,17,5.02,1,3,9,13,17,1,pypi
werkzeug,2.0.0,2021-05-11 20:26 UTC,0,59,1.4,6,10,28,44,59,1,pypi
mypy,1.0.0,2023-02-06 19:44 UTC,39341165,74,0.44,4,9,23,50,74,1,pypi
Pillow,9.0.0,2022-01-02 22:13 UTC,0,25,6.24,0,2,9,16,25,1,pypi
urllib3,2.0.0,2023-04-26 17:21 UTC,0,95,0.34,5,8,24,67,95,1,pypi
attrs,22.2.0,2022-12-21 09:48 UTC,0,42,0.09,5,12,18,33,42,1,pypi
setuptools,58.0.0,2021-09-05 21:27 UTC,0,83,1.99,3,14,22,55,83,1,pypi
httpx,0.23.0,2022-05-23 15:32 UTC,177479055,5,1.1,2,3,4,5,5,1,pypi
fastapi,0.100.0,2023-07-07 17:33 UTC,122787290,27,3.63,3,5,10,16,27,1,pypi
