package,breaking_version,beta,gamma,R0,r_squared,propagation_class,first_issue_hours,peak_issues_72h,N_6h,N_12h,N_24h,N_48h,N_72h
Django,2.0,1.7795,1.7746,1.003,0.9825,moderate,1.56,110,10,18,31,76,110
Django,3.0,4.9807,5.0,0.996,0.8611,no_signal,1.3,113,22,43,63,94,113
Django,4.0,2.2899,2.3173,0.988,0.9655,no_signal,1.5,62,7,19,30,53,62
pandas,2.0.0,3.9322,3.9247,1.002,0.9773,moderate,0.9,151,16,33,65,132,151
numpy,2.0.0,5.0,4.9521,1.01,0.9603,moderate,0.11,264,30,53,137,222,264
SQLAlchemy,2.0.0,3.8522,3.9055,0.986,0.9807,no_signal,1.82,62,6,21,44,54,62
pydantic,2.0.0,,,,,no_signal,,0,0,0,0,0,0
Celery,5.0.0,0.5671,0.6196,0.915,0.9682,no_signal,1.05,11,2,3,8,11,11
click,8.0.0,3.5193,3.479,1.012,0.9759,moderate,0.45,282,17,32,106,192,282
Pillow,10.0.0,0.846,0.8365,1.011,0.9788,moderate,0.03,72,6,8,12,47,72
pytest,7.0.0,1.5981,1.6311,0.98,0.7459,no_signal,0.83,45,10,17,22,30,45
Flask,2.0.0,2.2732,2.2998,0.988,0.9814,no_signal,0.07,63,7,15,33,52,63
aiohttp,3.0.0,0.1439,0.1658,0.868,0.9198,no_signal,1.26,6,2,2,3,5,6
Scrapy,2.0.0,,,,,no_signal,,0,0,0,0,0,0
cryptography,42.0.0,1.3211,1.3452,0.982,0.962,no_signal,0.31,43,6,11,20,33,43
sphinx,5.0.0,0.1749,0.1492,1.173,0.9956,moderate,5.02,31,1,1,4,15,31
marshmallow,3.0.0,0.4896,0.5145,0.952,0.9894,no_signal,5.02,17,1,3,9,13,17
werkzeug,2.0.0,1.6375,1.6555,0.989,0.9812,no_signal,1.4,59,6,10,28,44,59
mypy,1.0.0,1.2309,1.2309,1.0,0.9973,moderate,0.44,74,4,9,23,50,74
Pillow,9.0.0,0.3847,0.3863,0.996,0.9896,no_signal,6.24,25,0,2,9,16,25
urllib3,2.0.0,1.4268,1.4216,1.004,0.9928,moderate,0.34,95,5,8,24,67,95
attrs,22.2.0,1.2578,1.2807,0.982,0.9625,no_signal,0.09,42,5,12,18,33,42
setuptools,58.0.0,1.269,1.2659,1.002,0.9914,moderate,1.99,83,3,14,22,55,83
httpx,0.23.0,0.3865,0.4836,0.799,0.831,no_signal,1.1,5,2,3,4,5,5
fastapi,0.100.0,0.4328,0.436,0.993,0.9677,no_signal,3.63,27,3,5,10,16,27
