package,breaking_version,beta,gamma,R0,r_squared,propagation_class,first_issue_hours,peak_issues_72h,N_6h,N_12h,N_24h,N_48h,N_72h
lodash,4.0.0,0.2163,0.1475,1.467,0.9226,moderate,0.13,57,3,7,28,42,57
express,4.0.0,0.3277,0.274,1.196,0.9239,moderate,0.43,15,2,5,9,13,15
react,16.0.0,0.1001,0.0477,2.098,0.9483,explosive,0.36,181,31,56,104,160,181
react,17.0.0,0.1333,0.0654,2.038,0.987,explosive,1.33,164,7,16,47,105,164
react,18.0.0,0.0821,0.0345,2.382,0.9759,explosive,0.36,221,26,33,67,160,221
webpack,4.0.0,0.1691,0.0705,2.399,0.7699,explosive,0.16,189,4,12,131,167,189
webpack,5.0.0,0.1353,0.0803,1.685,0.9843,rapid,0.02,102,8,16,34,68,102
babel-core,7.0.0,,,,0.0,no_signal,,0,0,0,0,0,0
typescript,2.0.0,0.0966,0.0544,1.774,0.9703,rapid,0.15,116,15,18,41,78,116
typescript,3.0.0,,,,0.0,no_signal,,0,0,0,0,0,0
typescript,4.0.0,,,,0.0,no_signal,,0,0,0,0,0,0
angular,2.0.0,,,,0.0,no_signal,,0,0,0,0,0,0
vue,3.0.0,0.1529,0.1048,1.459,0.9596,moderate,1.6,61,7,13,27,42,61
moment,2.0.0,0.1032,0.0724,1.426,0.9695,moderate,1.95,16,2,3,5,8,16
axios,1.0.0,0.1492,0.1055,1.414,0.9439,moderate,1.01,54,8,11,27,39,54
jest,27.0.0,0.137,0.1024,1.337,0.9462,moderate,0.23,38,7,9,14,28,38
jest,28.0.0,0.0923,0.0639,1.444,0.9452,moderate,0.68,38,7,10,13,24,38
eslint,6.0.0,0.087,0.0462,1.882,0.8603,rapid,0.13,152,46,53,109,148,152
eslint,7.0.0,0.0386,0.001,38.626,0.9862,explosive,0.05,120,9,13,28,49,120
eslint,8.0.0,0.1779,0.1144,1.556,0.9849,rapid,0.89,75,3,10,19,42,75
mocha,6.0.0,0.1349,0.0913,1.477,0.8848,moderate,1.25,68,14,14,46,57,68
mocha,8.0.0,0.2107,0.1915,1.1,0.5787,moderate,0.07,8,4,4,7,7,8
chalk,5.0.0,0.1686,0.1451,1.162,0.8015,moderate,0.01,13,4,6,8,9,13
node-fetch,3.0.0,1.7966,1.7407,1.032,0.9702,moderate,2.04,24,2,3,10,18,24
uuid,8.0.0,0.2317,0.1764,1.313,0.9767,moderate,1.32,33,3,4,13,25,33
uuid,9.0.0,0.249,0.1853,1.344,0.9863,moderate,3.7,37,2,2,11,26,37
glob,8.0.0,,,,0.0,no_signal,,0,0,0,0,0,0
glob,9.0.0,0.3523,0.2808,1.255,0.99,moderate,4.2,21,1,1,4,18,21
rimraf,4.0.0,1.0859,0.7514,1.445,0.0,moderate,11.21,14,0,1,3,10,14
mkdirp,1.0.0,0.0613,0.0409,1.499,0.8547,moderate,2.99,12,3,3,3,9,12
semver,7.0.0,0.159,0.1164,1.366,0.9757,moderate,1.82,39,4,5,13,23,39
commander,8.0.0,1.2635,0.9282,1.361,0.0,moderate,6.6,6,0,2,3,5,6
commander,9.0.0,0.1603,0.1368,1.172,0.6906,moderate,0.54,18,8,8,14,17,18
yargs,17.0.0,0.0166,0.0018,9.368,0.7676,explosive,4.49,3,1,1,1,2,3
dotenv,16.0.0,0.3023,0.262,1.154,0.9518,moderate,1.2,11,2,3,5,9,11
mongoose,6.0.0,0.6767,0.2442,2.771,0.0,explosive,6.41,36,0,25,30,35,36
mongoose,7.0.0,1.2855,0.9685,1.327,0.0,moderate,19.45,12,0,0,2,7,12
sequelize,6.0.0,1.5582,1.2397,1.257,0.2082,moderate,17.95,3,0,0,2,3,3
typeorm,0.3.0,0.3474,0.291,1.194,0.8683,moderate,2.18,14,2,6,10,13,14
graphql,16.0.0,0.3641,0.2879,1.265,0.9304,moderate,0.0,21,1,2,11,19,21
apollo-server,3.0.0,8.255,8.0622,1.024,0.0,moderate,24.73,5,0,0,0,3,5
next,13.0.0,0.0885,0.0251,3.529,0.9653,explosive,0.01,364,48,76,198,328,364
next,14.0.0,0.0894,0.0298,3.004,0.951,explosive,0.07,309,46,68,182,276,309
nuxt,3.0.0,0.1417,0.0919,1.541,0.9509,rapid,0.63,77,12,21,42,65,77
gatsby,4.0.0,0.2666,0.2159,1.235,0.9491,moderate,3.04,21,3,7,11,18,21
tailwindcss,3.0.0,0.2668,0.1951,1.367,0.9253,moderate,1.65,38,2,7,19,31,38
postcss,8.0.0,0.127,0.1034,1.228,0.8158,moderate,1.66,24,8,10,14,19,24
rollup,3.0.0,0.212,0.1735,1.222,0.9325,moderate,0.17,21,4,6,11,16,21
vite,3.0.0,0.1418,0.084,1.688,0.9725,rapid,1.03,102,10,24,44,81,102
vite,4.0.0,0.1512,0.0956,1.582,0.9625,rapid,0.37,83,7,18,34,57,83
prettier,3.0.0,0.1288,0.0729,1.766,0.9684,rapid,0.52,118,13,25,55,94,118
