package,breaking_version,published_at,weekly_downloads,confidence,discovery_method,dependent_count
glob,4.0.0,2014-05-20T23:32:16+00:00,353879984,0.9,deprecated+quick_patch,110016
glob,5.0.0,2015-03-06T07:11:10+00:00,353879984,0.9,deprecated+quick_patch,110016
glob,10.0.0,2023-04-09T22:26:50+00:00,353879984,0.9,deprecated+quick_patch,110016
uuid,3.0.0,2016-11-18T05:55:37+00:00,261337841,0.9,deprecated+quick_patch,113344
uuid,7.0.0,2020-02-24T13:23:46+00:00,261337841,0.9,deprecated+quick_patch,113344
graceful-fs,3.0.0,2014-06-02T01:48:19+00:00,161096183,0.9,deprecated+quick_patch,10712
eslint,1.0.0,2015-07-31T17:19:53+00:00,132905621,0.9,deprecated+quick_patch,4132
eslint,2.0.0,2016-02-12T17:50:19+00:00,132905621,0.9,deprecated+quick_patch,4132
eslint,3.0.0,2016-07-01T18:08:45+00:00,132905621,0.9,deprecated+quick_patch,4132
eslint,4.0.0,2017-06-12T01:21:22+00:00,132905621,0.9,deprecated+quick_patch,4132
eslint,5.0.0,2018-06-23T02:40:29+00:00,132905621,0.9,deprecated+quick_patch,4132
eslint,6.0.0,2019-06-22T03:01:41+00:00,132905621,0.9,deprecated+quick_patch,4132
eslint,7.0.0,2020-05-08T18:51:12+00:00,132905621,0.9,deprecated+quick_patch,4132
eslint,8.0.0,2021-10-09T20:46:13+00:00,132905621,0.9,deprecated+quick_patch,4132
express,1.0.0,2010-12-29T19:38:25+00:00,105166397,0.9,deprecated+quick_patch,1684
express,2.0.0,2011-03-18T01:06:40+00:00,105166397,0.9,deprecated+quick_patch,1684
express,3.0.0,2012-10-23T22:30:10+00:00,105166397,0.9,deprecated+quick_patch,1684
tar,2.0.0,2015-03-27T01:45:53+00:00,81073093,0.9,deprecated+quick_patch,8616
tar,4.0.0,2017-08-18T22:24:34+00:00,81073093,0.9,deprecated+quick_patch,8616
tar,6.0.0,2020-01-28T01:46:19+00:00,81073093,0.9,deprecated+quick_patch,8616
tar,7.0.0,2024-04-10T20:07:24+00:00,81073093,0.9,deprecated+quick_patch,8616
jsonwebtoken,4.0.0,2015-03-06T15:10:53+00:00,44625727,0.9,deprecated+quick_patch,65760
graphql,14.0.0,2018-08-30T17:22:47+00:00,39640273,0.9,deprecated+quick_patch,60856
next,14.0.0,2023-10-26T16:13:48+00:00,36029905,0.9,deprecated+quick_patch,17296
formidable,1.0.0,2011-04-13T20:44:27+00:00,21622708,0.9,deprecated+quick_patch,13352
gauge,2.0.0,2016-02-21T01:14:51+00:00,21243092,0.9,deprecated+quick_patch,6064
npmlog,3.0.0,2016-06-07T01:30:36+00:00,21079784,0.9,deprecated+quick_patch,3748
npmlog,7.0.0,2022-10-14T17:52:29+00:00,21079784,0.9,deprecated+quick_patch,3748
joi,1.0.0,2013-08-16T14:52:39+00:00,20880260,0.9,deprecated+quick_patch,55792
joi,3.0.0,2014-04-08T07:00:54+00:00,20880260,0.9,deprecated+quick_patch,55792
joi,6.0.0,2015-03-02T22:30:48+00:00,20880260,0.9,deprecated+quick_patch,55792
joi,9.0.0,2016-07-09T13:47:00+00:00,20880260,0.9,deprecated+quick_patch,55792
superagent,1.0.0,2015-03-11T18:16:36+00:00,20148539,0.9,deprecated+quick_patch,15432
superagent,3.0.0,2016-11-19T22:43:03+00:00,20148539,0.9,deprecated+quick_patch,15432
superagent,10.0.0,2024-08-05T10:33:29+00:00,20148539,0.9,deprecated+quick_patch,15432
multer,1.0.0,2015-07-18T17:39:55+00:00,16410589,0.9,deprecated+quick_patch,73448
nodemailer,3.0.0,2017-01-31T10:17:16+00:00,15617912,0.9,deprecated+quick_patch,55360
nodemailer,4.0.0,2017-04-06T17:39:41+00:00,15617912,0.9,deprecated+quick_patch,55360
request,1.0.0,2011-01-22T00:36:12+00:00,14988766,0.9,deprecated+quick_patch,110944
supertest,4.0.0,2019-03-09T11:14:11+00:00,14590675,0.9,deprecated+quick_patch,52600
supertest,6.0.0,2020-10-28T18:41:30+00:00,14590675,0.9,deprecated+quick_patch,52600
connect,2.0.0,2012-02-28T15:53:07+00:00,14581336,0.9,deprecated+quick_patch,122848
