package,breaking_version,V_r,E_r,D_t,H_m,CRS_equal,CRS_rating,R0,propagation_class
glob,9.0.0,1.0,0.4925,1.0,0.0325,0.6313,AVOID,1.255,moderate
semver,7.0.0,0.9524,1.0,0.5,0.0354,0.6219,AVOID,1.366,moderate
eslint,7.0.0,0.0,0.185,1.0,1.0,0.5462,WAIT,38.626,explosive
minimatch,2.0.0,1.0,0.8485,0.0,0.0,0.4621,WAIT,,
glob,8.0.0,1.0,0.4925,0.2533,0.0,0.4365,WAIT,,no_signal
react,16.0.0,1.0,0.1867,0.4276,0.0543,0.4171,WAIT,2.098,explosive
tailwindcss,3.0.0,0.8899,0.1541,0.5,0.0354,0.3948,WAIT,1.367,moderate
postcss,8.0.0,0.6667,0.3164,0.5,0.0318,0.3787,WAIT,1.228,moderate
typescript,4.0.0,1.0,0.2827,0.2208,0.0,0.3759,WAIT,,no_signal
typescript,3.0.0,1.0,0.2827,0.169,0.0,0.3629,WAIT,,no_signal
uuid,9.0.0,0.0,0.3637,1.0,0.0348,0.3496,WAIT,1.344,moderate
uuid,8.0.0,0.0,0.3637,1.0,0.034,0.3494,WAIT,1.313,moderate
apollo-server,3.0.0,0.2632,0.0042,1.0,0.0265,0.3235,WAIT,1.024,moderate
babel-core,7.0.0,1.0,0.0123,0.2466,0.0,0.3147,WAIT,,no_signal
eslint,6.0.0,0.0,0.185,1.0,0.0487,0.3084,WAIT,1.882,rapid
rimraf,4.0.0,0.0,0.1939,1.0,0.0374,0.3078,WAIT,1.445,moderate
eslint,8.0.0,0.0,0.185,1.0,0.0403,0.3063,WAIT,1.556,rapid
webpack,5.0.0,0.6019,0.0664,0.5,0.0436,0.303,WAIT,1.685,rapid
react-dom,16.0.0,1.0,0.1758,0.0,0.0,0.294,WAIT,,
next,14.0.0,0.0276,0.0501,1.0,0.0778,0.2889,WAIT,3.004,explosive
