ecosystem,package,breaking_version,R0,r_squared,propagation_class,first_issue_hours
npm,lodash,4.0.0,1.467,0.9226,moderate,0.13
npm,express,4.0.0,1.196,0.9239,moderate,0.43
npm,react,16.0.0,2.098,0.9483,explosive,0.36
npm,react,17.0.0,2.038,0.987,explosive,1.33
npm,react,18.0.0,2.382,0.9759,explosive,0.36
npm,webpack,4.0.0,2.399,0.7699,explosive,0.16
npm,webpack,5.0.0,1.685,0.9843,rapid,0.02
npm,babel-core,7.0.0,,0.0,no_signal,
npm,typescript,2.0.0,1.774,0.9703,rapid,0.15
npm,typescript,3.0.0,,0.0,no_signal,
npm,typescript,4.0.0,,0.0,no_signal,
npm,angular,2.0.0,,0.0,no_signal,
npm,vue,3.0.0,1.459,0.9596,moderate,1.6
npm,moment,2.0.0,1.426,0.9695,moderate,1.95
npm,axios,1.0.0,1.414,0.9439,moderate,1.01
npm,jest,27.0.0,1.337,0.9462,moderate,0.23
npm,jest,28.0.0,1.444,0.9452,moderate,0.68
npm,eslint,6.0.0,1.882,0.8603,rapid,0.13
npm,eslint,7.0.0,38.626,0.9862,explosive,0.05
npm,eslint,8.0.0,1.556,0.9849,rapid,0.89
npm,mocha,6.0.0,1.477,0.8848,moderate,1.25
npm,mocha,8.0.0,1.1,0.5787,moderate,0.07
npm,chalk,5.0.0,1.162,0.8015,moderate,0.01
npm,node-fetch,3.0.0,1.032,0.9702,moderate,2.04
npm,uuid,8.0.0,1.313,0.9767,moderate,1.32
npm,uuid,9.0.0,1.344,0.9863,moderate,3.7
npm,glob,8.0.0,,0.0,no_signal,
npm,glob,9.0.0,1.255,0.99,moderate,4.2
npm,rimraf,4.0.0,1.445,0.0,moderate,11.21
npm,mkdirp,1.0.0,1.499,0.8547,moderate,2.99
npm,semver,7.0.0,1.366,0.9757,moderate,1.82
npm,commander,8.0.0,1.361,0.0,moderate,6.6
npm,commander,9.0.0,1.172,0.6906,moderate,0.54
npm,yargs,17.0.0,9.368,0.7676,explosive,4.49
npm,dotenv,16.0.0,1.154,0.9518,moderate,1.2
npm,mongoose,6.0.0,2.771,0.0,explosive,6.41
npm,mongoose,7.0.0,1.327,0.0,moderate,19.45
npm,sequelize,6.0.0,1.257,0.2082,moderate,17.95
npm,typeorm,0.3.0,1.194,0.8683,moderate,2.18
npm,graphql,16.0.0,1.265,0.9304,moderate,0.0
npm,apollo-server,3.0.0,1.024,0.0,moderate,24.73
npm,next,13.0.0,3.529,0.9653,explosive,0.01
npm,next,14.0.0,3.004,0.951,explosive,0.07
npm,nuxt,3.0.0,1.541,0.9509,rapid,0.63
npm,gatsby,4.0.0,1.235,0.9491,moderate,3.04
npm,tailwindcss,3.0.0,1.367,0.9253,moderate,1.65
npm,postcss,8.0.0,1.228,0.8158,moderate,1.66
npm,rollup,3.0.0,1.222,0.9325,moderate,0.17
npm,vite,3.0.0,1.688,0.9725,rapid,1.03
npm,vite,4.0.0,1.582,0.9625,rapid,0.37
npm,prettier,3.0.0,1.766,0.9684,rapid,0.52
pypi,Django,2.0,1.003,0.9825,moderate,1.56
pypi,Django,3.0,0.996,0.8611,no_signal,1.3
pypi,Django,4.0,0.988,0.9655,no_signal,1.5
pypi,pandas,2.0.0,1.002,0.9773,moderate,0.9
pypi,numpy,2.0.0,1.01,0.9603,moderate,0.11
pypi,SQLAlchemy,2.0.0,0.986,0.9807,no_signal,1.82
pypi,pydantic,2.0.0,,,no_signal,
pypi,Celery,5.0.0,0.915,0.9682,no_signal,1.05
pypi,click,8.0.0,1.012,0.9759,moderate,0.45
pypi,Pillow,10.0.0,1.011,0.9788,moderate,0.03
pypi,pytest,7.0.0,0.98,0.7459,no_signal,0.83
pypi,Flask,2.0.0,0.988,0.9814,no_signal,0.07
